
id,text
11958,"Ничего особенного, обычный сервис без эмоций"
77574,"Шикарно, лучшая реализация из всех, что пробовал"
61693,"Нравится новый дизайн, стало гораздо удобнее"
12508,"Поставил и пользуюсь время от времени, без восторга"
65686,Интеграция с другими сервисами просто шикарная
22279,"В целом нормально, но есть мелкие баги"
61522,"Супер опыт, рекомендую друзьям и коллегам"
34017,"Поддержка ответила быстро, проблему решили"
97399,"В целом неплохо, но есть куда развиваться"
18635,"Обычное приложение, ни лучше, ни хуже конкурентов"
84744,"Очень рад, что нашёл это приложение, теперь пользуюсь каждый день"
77468,"Плохо, часто вылетает при запуске"
20047,"Непрозрачные комиссии, деньги списываются непонятно за что"
98376,"Ок, выполняет свои задачи, но без вау-эффекта"
12229,"Слишком дорого, не стоит своих денег"
24984,"Все функции работают как заявлено, доволен"
74930,"Отвратительно, вообще ничего не работает"
38926,"В целом неплохо, но есть куда развиваться"
35512,Интеграция с другими сервисами просто шикарная
39066,"Работает как надо, без сюрпризов"
26354,"Разочарование, ожидал гораздо большего"
88568,"Очень рад, что нашёл это приложение, теперь пользуюсь каждый день"
92032,Поддержка игнорирует обращения неделями
93696,"Нейтрально, просто еще одно приложение на телефоне"
38433,"Совершенно разочарован, поддержка не отвечает"
20274,"Ужасно медленное приложение, постоянно глючит"
90859,Не заметил особых преимуществ по сравнению с аналогами
30030,"Поддержка ответила быстро, проблему решили"
57120,"Классный сервис, экономит много времени"
39469,"Слишком дорого, не стоит своих денег"
73730,Поддержка игнорирует обращения неделями
38011,"Классный сервис, экономит много времени"
67971,"Ужасно медленное приложение, постоянно глючит"
73184,"Супер опыт, рекомендую друзьям и коллегам"
16262,"Отличный пример того, каким должен быть современный сервис"
13987,"В целом нормально, но есть мелкие баги"
72926,"Неудобно, много лишних шагов при оплате"
12710,"Нейтрально, просто еще одно приложение на телефоне"
98575,"Постоянные ошибки при авторизации, невозможно зайти"
54324,"В целом нормально, но есть мелкие баги"
31579,"После обновления все стало работать хуже, чем было"
93608,"Нейтрально, просто еще одно приложение на телефоне"
12313,Не заметил особых преимуществ по сравнению с аналогами
93292,"Приложение приятно удивило, все сделано продуманно"
43507,Поддержка игнорирует обращения неделями
73610,"В целом нормально, но есть мелкие баги"
30465,"Работает как надо, без сюрпризов"
22033,Поддержка игнорирует обращения неделями
70900,"Все функции работают как заявлено, доволен"
47392,"Все функции работают как заявлено, доволен"
63897,Функций достаточно для повседневного использования
39698,"Сервис подвел в важный момент, больше доверять не буду"
38858,"Все функции работают как заявлено, доволен"
81325,"Ок, выполняет свои задачи, но без вау-эффекта"
84886,"После обновления все стало работать хуже, чем было"
42862,"Сервис понравился, очень удобный интерфейс"
41140,"Все функции работают как заявлено, доволен"
17586,"Нейтрально, просто еще одно приложение на телефоне"
49482,"Плохо, часто вылетает при запуске"
76246,"Сервис понравился, очень удобный интерфейс"
62379,"Плохо, часто вылетает при запуске"
23978,"Подойдет для базовых задач, не более"
34296,Не заметил особых преимуществ по сравнению с аналогами
10767,"Разочарование, ожидал гораздо большего"
37065,"Плохо, часто вылетает при запуске"
90824,"Приложение приятно удивило, все сделано продуманно"
79775,"Поддержка ответила быстро, проблему решили"
61494,"Иногда подлагивает, но не критично"
48079,"Интерфейс понятный, но хотелось бы больше настроек"
17322,"Очень рад, что нашёл это приложение, теперь пользуюсь каждый день"
47452,"Работает как надо, без сюрпризов"
30271,Интеграция с другими сервисами просто шикарная
77821,"Приложение приятно удивило, все сделано продуманно"
74027,"Приложение глючит и вылетает, пользоваться невозможно"
93590,"Подойдет для базовых задач, не более"
56812,"Очень плохо, деньги списали дважды"
63304,"Классный сервис, экономит много времени"
14983,"Отличный пример того, каким должен быть современный сервис"
35302,"Очень плохо, деньги списали дважды"
24785,"Отвратительно, вообще ничего не работает"
89116,"Нейтрально, просто еще одно приложение на телефоне"
75165,"Все работает как часы, ни одного сбоя за месяц"
35098,"Неудобно, много лишних шагов при оплате"
42866,Не заметил особых преимуществ по сравнению с аналогами
61266,"Классный сервис, экономит много времени"
96591,"Постоянные ошибки при авторизации, невозможно зайти"
37063,"Ничего особенного, обычный сервис без эмоций"
77061,"Очень удобная навигация, все интуитивно понятно"
77448,"Все функции работают как заявлено, доволен"
66626,"Разочарование, ожидал гораздо большего"
12973,"Нравится новый дизайн, стало гораздо удобнее"
42775,"Работает как надо, без сюрпризов"
63994,"Неудобно, много лишних шагов при оплате"
71796,"Неудобно, много лишних шагов при оплате"
62655,"В целом нормально, но есть мелкие баги"
20793,"Все функции работают как заявлено, доволен"
89361,"Совершенно разочарован, поддержка не отвечает"
50440,"Удобные уведомления, ничего не пропускаю"
80845,"Работает как надо, без сюрпризов"
44168,"Нейтрально, просто еще одно приложение на телефоне"
38382,"Ужасно медленное приложение, постоянно глючит"
36846,"Разочарование, ожидал гораздо большего"
83155,"Классный сервис, экономит много времени"
54566,"Отличный пример того, каким должен быть современный сервис"
73411,"Непрозрачные комиссии, деньги списываются непонятно за что"
36758,Поддержка игнорирует обращения неделями
39757,"Классный сервис, экономит много времени"
32432,"Интерфейс понятный, но хотелось бы больше настроек"
80478,"Отвратительно, вообще ничего не работает"
51152,"Совершенно разочарован, поддержка не отвечает"
59475,"Удобные уведомления, ничего не пропускаю"
88645,"Интерфейс понятный, но хотелось бы больше настроек"
93667,"Интерфейс перегружен, сложно найти нужные функции"
74412,"Очень удобная навигация, все интуитивно понятно"
19339,"Непрозрачные комиссии, деньги списываются непонятно за что"
18963,"Обычное приложение, ни лучше, ни хуже конкурентов"
11535,"Сервис понравился, очень удобный интерфейс"
78594,"Сервис понравился, очень удобный интерфейс"
93649,"Интерфейс понятный, но хотелось бы больше настроек"
19521,"Удобные уведомления, ничего не пропускаю"
43274,"В целом неплохо, но есть куда развиваться"
56709,"Совершенно разочарован, поддержка не отвечает"
20297,"Слишком дорого, не стоит своих денег"
24012,"Супер опыт, рекомендую друзьям и коллегам"
21900,"Иногда подлагивает, но не критично"
33508,"Подойдет для базовых задач, не более"
63424,"Все функции работают как заявлено, доволен"
22864,"Иногда подлагивает, но не критично"
93625,"Выполняет свою работу, но без изюминки"
54120,"После обновления все стало работать хуже, чем было"
71945,"Сервис подвел в важный момент, больше доверять не буду"
57694,"Поддержка ответила быстро, проблему решили"
43900,Функций достаточно для повседневного использования
55692,"Неудобно, много лишних шагов при оплате"
49912,"Поставил и пользуюсь время от времени, без восторга"
38264,"В целом неплохо, но есть куда развиваться"
83439,"Приложение глючит и вылетает, пользоваться невозможно"
37109,"Подойдет для базовых задач, не более"
82020,"Разочарование, ожидал гораздо большего"
39989,"В целом нормально, но есть мелкие баги"
84138,"Работает как надо, без сюрпризов"
53126,Интеграция с другими сервисами просто шикарная
81679,"В целом нормально, но есть мелкие баги"
16295,"Отличное приложение, работает супер быстро"
20589,"Шикарно, лучшая реализация из всех, что пробовал"
62241,"Плохо, часто вылетает при запуске"
36510,"Поддержка ответила быстро, проблему решили"
88752,"Очень удобная навигация, все интуитивно понятно"
55479,"Слишком дорого, не стоит своих денег"
55536,"Неудобно, много лишних шагов при оплате"
43034,"Обычное приложение, ни лучше, ни хуже конкурентов"
90431,"После обновления все стало работать хуже, чем было"
45362,"Подойдет для базовых задач, не более"
56567,Функций достаточно для повседневного использования
18281,"Супер опыт, рекомендую друзьям и коллегам"
31925,"Сервис понравился, очень удобный интерфейс"
67480,"Непрозрачные комиссии, деньги списываются непонятно за что"
79768,"Удобные уведомления, ничего не пропускаю"
84346,"Все работает как часы, ни одного сбоя за месяц"
17342,"Функционал стандартный, но пользоваться можно"
92332,"Приложение приятно удивило, все сделано продуманно"
97877,"Ок, выполняет свои задачи, но без вау-эффекта"
75715,Поддержка игнорирует обращения неделями
50957,"Классный сервис, экономит много времени"
92725,"Выполняет свою работу, но без изюминки"
39366,"Отличный пример того, каким должен быть современный сервис"
35532,"В целом неплохо, но есть куда развиваться"
86869,"Постоянные ошибки при авторизации, невозможно зайти"
59219,"Поддержка ответила быстро, проблему решили"
63863,"Поддержка ответила быстро, проблему решили"
36522,"В целом неплохо, но есть куда развиваться"
35077,"Работает как надо, без сюрпризов"
31227,"Супер опыт, рекомендую друзьям и коллегам"
88211,"Разочарование, ожидал гораздо большего"
33310,"Шикарно, лучшая реализация из всех, что пробовал"
97284,"Супер опыт, рекомендую друзьям и коллегам"
67520,"Непрозрачные комиссии, деньги списываются непонятно за что"
69550,"Иногда подлагивает, но не критично"
36995,"Ужасно медленное приложение, постоянно глючит"
49192,"Нравится новый дизайн, стало гораздо удобнее"
82611,"В целом неплохо, но есть куда развиваться"
47344,"Удобные уведомления, ничего не пропускаю"
50846,"Сервис подвел в важный момент, больше доверять не буду"
77769,"Супер опыт, рекомендую друзьям и коллегам"
41790,"Сервис понравился, очень удобный интерфейс"
23271,"Выполняет свою работу, но без изюминки"
46118,"Супер опыт, рекомендую друзьям и коллегам"
18730,"Выполняет свою работу, но без изюминки"
41381,Функций достаточно для повседневного использования
43402,"Удобные уведомления, ничего не пропускаю"
35454,"Интерфейс перегружен, сложно найти нужные функции"
22226,"Разочарование, ожидал гораздо большего"
22235,"Выполняет свою работу, но без изюминки"
41465,"Отвратительно, вообще ничего не работает"
86350,"Выполняет свою работу, но без изюминки"
91802,"Интерфейс понятный, но хотелось бы больше настроек"
12497,"Совершенно разочарован, поддержка не отвечает"
99570,"Неудобно, много лишних шагов при оплате"
53799,"Функционал стандартный, но пользоваться можно"
10070,"После обновления все стало работать хуже, чем было"
14998,"Поставил и пользуюсь время от времени, без восторга"
39598,"Постоянные ошибки при авторизации, невозможно зайти"
27034,"Разочарование, ожидал гораздо большего"
62703,"Функционал стандартный, но пользоваться можно"
69246,"В целом неплохо, но есть куда развиваться"
26482,"Сервис подвел в важный момент, больше доверять не буду"
37676,"Непрозрачные комиссии, деньги списываются непонятно за что"
33313,"Приложение приятно удивило, все сделано продуманно"
21875,"Супер опыт, рекомендую друзьям и коллегам"
70059,"Функционал стандартный, но пользоваться можно"
24061,"Непрозрачные комиссии, деньги списываются непонятно за что"
65931,"Плохо, часто вылетает при запуске"
50383,"Ничего особенного, обычный сервис без эмоций"
66440,"В целом нормально, но есть мелкие баги"
38010,"Отвратительно, вообще ничего не работает"
68085,"Совершенно разочарован, поддержка не отвечает"
11470,"Работает как надо, без сюрпризов"
87105,"Приложение приятно удивило, все сделано продуманно"
60995,"Иногда подлагивает, но не критично"
98993,"Удобные уведомления, ничего не пропускаю"
15908,"Неудобно, много лишних шагов при оплате"
12253,"Приложение глючит и вылетает, пользоваться невозможно"
27815,"Очень рад, что нашёл это приложение, теперь пользуюсь каждый день"
32563,"Нейтрально, просто еще одно приложение на телефоне"
45313,"Сервис понравился, очень удобный интерфейс"
88328,Поддержка игнорирует обращения неделями
84890,"Выполняет свою работу, но без изюминки"
45056,"Поддержка ответила быстро, проблему решили"
67596,"Непрозрачные комиссии, деньги списываются непонятно за что"
40482,"Удобные уведомления, ничего не пропускаю"
88901,"Совершенно разочарован, поддержка не отвечает"
77857,"Поддержка ответила быстро, проблему решили"
74276,"Слишком дорого, не стоит своих денег"
58968,"Очень плохо, деньги списали дважды"
45701,"В целом неплохо, но есть куда развиваться"
61269,"Ужасно медленное приложение, постоянно глючит"
95672,"Очень рад, что нашёл это приложение, теперь пользуюсь каждый день"
84364,"Нравится новый дизайн, стало гораздо удобнее"
54853,"Ничего особенного, обычный сервис без эмоций"
29563,"Ужасно медленное приложение, постоянно глючит"
48742,"Функционал стандартный, но пользоваться можно"
63143,"Ужасно медленное приложение, постоянно глючит"
83229,"Совершенно разочарован, поддержка не отвечает"
47150,"Поддержка ответила быстро, проблему решили"
83781,"В целом неплохо, но есть куда развиваться"
24573,"Непрозрачные комиссии, деньги списываются непонятно за что"
84438,"Очень плохо, деньги списали дважды"
66668,"Иногда подлагивает, но не критично"
61373,"Функционал стандартный, но пользоваться можно"
56022,"Шикарно, лучшая реализация из всех, что пробовал"
77386,"Ничего особенного, обычный сервис без эмоций"
67098,"Сервис подвел в важный момент, больше доверять не буду"
19855,"Супер опыт, рекомендую друзьям и коллегам"
94860,"Неудобно, много лишних шагов при оплате"
40457,"Нейтрально, просто еще одно приложение на телефоне"
83907,"Плохо, часто вылетает при запуске"
32581,"Нейтрально, просто еще одно приложение на телефоне"
61663,"Подойдет для базовых задач, не более"
92059,"Классный сервис, экономит много времени"
98800,"Приложение приятно удивило, все сделано продуманно"
87308,"Разочарование, ожидал гораздо большего"
96492,"Отличное приложение, работает супер быстро"
77500,"Иногда подлагивает, но не критично"
45805,"Поддержка ответила быстро, проблему решили"
23833,"Постоянные ошибки при авторизации, невозможно зайти"
